INFO 2023-12-19 20:59:07,196 autoreload 592 1900 Watching for file changes with StatReloader
INFO 2023-12-19 20:59:22,533 autoreload 592 1900 D:\Учёба\GeekBrains\I четверть\7. Django\Семинары\Django_Seminar\myproject\settings.py changed, reloading.
INFO 2023-12-19 20:59:22,877 autoreload 2056 10256 Watching for file changes with StatReloader
WARNING 2023-12-19 20:59:58,982 log 2056 6604 Not Found: /
WARNING 2023-12-19 20:59:58,982 basehttp 2056 6604 "GET / HTTP/1.1" 404 2167
WARNING 2023-12-19 20:59:59,126 log 2056 17740 Not Found: /
WARNING 2023-12-19 20:59:59,127 basehttp 2056 17740 "GET / HTTP/1.1" 404 2167
INFO 2023-12-19 21:00:07,301 views 2056 6604 Page accessed
INFO 2023-12-19 21:00:07,302 basehttp 2056 6604 "GET /main/ HTTP/1.1" 200 13
INFO 2023-12-19 21:00:07,324 views 2056 17740 Page accessed
INFO 2023-12-19 21:00:07,324 basehttp 2056 17740 "GET /main/ HTTP/1.1" 200 13
WARNING 2023-12-19 21:00:16,880 log 2056 6604 Not Found: /game1
WARNING 2023-12-19 21:00:16,880 basehttp 2056 6604 "GET /game1 HTTP/1.1" 404 2200
WARNING 2023-12-19 21:00:16,909 log 2056 17740 Not Found: /game1
WARNING 2023-12-19 21:00:16,910 basehttp 2056 17740 "GET /game1 HTTP/1.1" 404 2200
INFO 2023-12-23 10:38:09,579 autoreload 1528 1680 Watching for file changes with StatReloader
WARNING 2023-12-23 10:38:12,440 log 1528 12980 Not Found: /
WARNING 2023-12-23 10:38:12,441 basehttp 1528 12980 "GET / HTTP/1.1" 404 2167
WARNING 2023-12-23 10:38:12,573 log 1528 12980 Not Found: /favicon.ico
WARNING 2023-12-23 10:38:12,574 basehttp 1528 12980 "GET /favicon.ico HTTP/1.1" 404 2218
WARNING 2023-12-23 10:38:12,590 log 1528 9192 Not Found: /
WARNING 2023-12-23 10:38:12,591 basehttp 1528 9192 "GET / HTTP/1.1" 404 2167
INFO 2023-12-23 10:38:24,362 basehttp 1528 12980 "GET /main HTTP/1.1" 301 0
INFO 2023-12-23 10:38:24,367 views 1528 13104 Page accessed
INFO 2023-12-23 10:38:24,368 basehttp 1528 13104 "GET /main/ HTTP/1.1" 200 13
INFO 2023-12-23 10:38:24,389 views 1528 9192 Page accessed
INFO 2023-12-23 10:38:24,391 basehttp 1528 9192 "GET /main/ HTTP/1.1" 200 13
INFO 2023-12-23 10:38:29,912 basehttp 1528 13104 "GET /main/game1 HTTP/1.1" 301 0
INFO 2023-12-23 10:38:29,916 views 1528 8528 Page accessed
INFO 2023-12-23 10:38:29,922 basehttp 1528 8528 "GET /main/game1/ HTTP/1.1" 200 5
INFO 2023-12-23 10:38:29,949 views 1528 9192 Page accessed
INFO 2023-12-23 10:38:29,957 basehttp 1528 9192 "GET /main/game1/ HTTP/1.1" 200 5
INFO 2023-12-23 10:48:07,961 autoreload 1528 1680 D:\Учёба\GeekBrains\I четверть\7. Django\Семинары\Django_Seminar\myapp\models.py changed, reloading.
INFO 2023-12-23 10:48:08,403 autoreload 17916 6152 Watching for file changes with StatReloader
